image_after_PCA,matched_test_image,min_error_rate
person1.bmp,m-031-19.bmp,296.558
person10.bmp,m-013-14.bmp,329.8104
person100.bmp,w-061-20.bmp,345.813
person11.bmp,m-050-25.bmp,471.7547
person12.bmp,m-012-20.bmp,382.3252
person13.bmp,m-013-14.bmp,286.0566
person14.bmp,m-031-19.bmp,216.1891
person15.bmp,m-031-19.bmp,241.8456
person16.bmp,m-023-20.bmp,206.3881
person17.bmp,m-013-22.bmp,414.7711
person18.bmp,m-013-14.bmp,281.4894
person19.bmp,m-012-20.bmp,377.9652
person2.bmp,m-025-14.bmp,352.5352
person20.bmp,m-037-19.bmp,470.3398
person21.bmp,m-013-14.bmp,252.0931
person22.bmp,m-010-18.bmp,415.5333
person23.bmp,m-010-18.bmp,233.3936
person24.bmp,m-010-22.bmp,420.53
person25.bmp,m-042-14.bmp,622.7545
person26.bmp,m-013-25.bmp,426.4705
person27.bmp,m-010-20.bmp,218.6188
person28.bmp,m-031-19.bmp,306.5672
person29.bmp,m-010-18.bmp,216.0859
person3.bmp,m-013-23.bmp,433.853
person30.bmp,m-012-20.bmp,293.5304
person31.bmp,m-012-20.bmp,390.2095
person32.bmp,m-037-20.bmp,256.4455
person33.bmp,m-010-18.bmp,291.1621
person34.bmp,m-029-20.bmp,417.2637
person35.bmp,m-013-14.bmp,340.4377
person36.bmp,w-068-14.bmp,463.8739
person37.bmp,w-068-14.bmp,457.316
person38.bmp,w-068-16.bmp,478.1407
person39.bmp,m-034-22.bmp,467.543
person4.bmp,m-029-18.bmp,386.7921
person40.bmp,m-031-19.bmp,213.4036
person41.bmp,m-037-18.bmp,396.56
person42.bmp,m-034-22.bmp,494.1546
person43.bmp,w-068-16.bmp,498.5776
person44.bmp,m-012-20.bmp,311.2915
person45.bmp,m-022-14.bmp,432.4688
person46.bmp,m-023-19.bmp,252.5505
person47.bmp,m-042-25.bmp,468.6925
person48.bmp,m-010-18.bmp,425.4882
person49.bmp,m-042-25.bmp,542.9359
person5.bmp,m-013-14.bmp,297.271
person50.bmp,m-014-20.bmp,393.8636
person51.bmp,w-096-20.bmp,567.8649
person52.bmp,m-042-25.bmp,290.0583
person53.bmp,w-097-18.bmp,288.1084
person54.bmp,m-013-26.bmp,554.0196
person55.bmp,m-037-20.bmp,237.5318
person56.bmp,m-029-20.bmp,579.3554
person57.bmp,w-061-20.bmp,564.4861
person58.bmp,w-061-20.bmp,211.2732
person59.bmp,m-012-20.bmp,326.6248
person6.bmp,m-023-20.bmp,262.335
person60.bmp,w-061-20.bmp,253.6925
person61.bmp,w-074-19.bmp,352.5992
person62.bmp,w-097-18.bmp,227.0065
person63.bmp,w-082-22.bmp,644.2082
person64.bmp,m-022-26.bmp,434.6139
person65.bmp,w-061-20.bmp,261.9955
person66.bmp,w-095-19.bmp,521.8828
person67.bmp,w-061-20.bmp,229.5039
person68.bmp,m-042-25.bmp,378.5649
person69.bmp,w-065-19.bmp,443.2493
person7.bmp,m-031-19.bmp,274.1432
person70.bmp,m-013-23.bmp,463.7601
person71.bmp,m-023-18.bmp,292.1241
person72.bmp,m-013-14.bmp,565.2894
person73.bmp,w-061-20.bmp,239.4065
person74.bmp,w-066-20.bmp,299.1268
person75.bmp,w-082-22.bmp,453.279
person76.bmp,w-074-23.bmp,554.8014
person77.bmp,m-023-22.bmp,390.4062
person78.bmp,w-065-19.bmp,238.763
person79.bmp,w-082-18.bmp,283.7564
person8.bmp,m-023-23.bmp,401.0695
person80.bmp,w-096-20.bmp,337.4158
person81.bmp,w-068-16.bmp,447.9916
person82.bmp,m-042-25.bmp,336.1674
person83.bmp,w-082-23.bmp,492.4406
person84.bmp,w-068-16.bmp,478.693
person85.bmp,w-097-18.bmp,260.4292
person86.bmp,m-042-26.bmp,481.7651
person87.bmp,w-097-18.bmp,260.7406
person88.bmp,w-065-19.bmp,254.4955
person89.bmp,w-095-19.bmp,542.9767
person9.bmp,m-023-20.bmp,354.9536
person90.bmp,w-068-16.bmp,450.203
person91.bmp,m-023-20.bmp,243.3375
person92.bmp,w-063-22.bmp,577.9159
person93.bmp,w-061-20.bmp,244.8975
person94.bmp,w-082-23.bmp,586.4154
person95.bmp,w-068-16.bmp,491.6663
person96.bmp,w-061-20.bmp,248.6801
person97.bmp,w-096-20.bmp,341.7471
person98.bmp,w-063-22.bmp,467.1463
person99.bmp,m-012-20.bmp,326.7915
